,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,Lasso 56,Lasso 84,Lasso 1092,Lasso 1456,Lasso Ensemble
2016-01-04 00:00:00,13.78,11.194377899169922,10.0291748046875,9.769119262695312,12.315176010131836,10.826961994171143,13.8891,13.7763,7.1153,6.8348,10.403875
2016-01-04 01:00:00,12.77,7.731614112854004,5.070096969604492,6.4421730041503915,10.118409156799316,7.340573310852051,10.3999,9.6655,6.093,5.5877,7.936525
2016-01-04 02:00:00,10.56,5.369377136230469,2.669799327850342,4.265125274658203,7.970944881439209,5.068811655044556,9.1066,8.2403,5.4301,4.2977,6.768674999999999
2016-01-04 03:00:00,3.87,5.475403785705566,1.5921227931976318,4.635591506958008,7.879712104797362,4.895707547664642,8.058,8.4228,4.2988,4.7288,6.3771
2016-01-04 04:00:00,3.2,6.063821792602539,2.5368547439575195,6.2597084045410165,8.80976676940918,5.9175379276275635,8.1886,7.6844,3.5457,5.2751,6.173450000000001
2016-01-04 05:00:00,8.67,10.24721622467041,6.026343822479247,9.063993453979492,12.694321632385256,9.507968783378601,12.5279,12.2882,8.5969,10.4365,10.962375
2016-01-04 06:00:00,18.01,16.413017272949222,13.771292686462402,18.688241958618164,18.389488220214844,16.815510034561157,16.3528,19.2514,20.1869,22.3766,19.541925
2016-01-04 07:00:00,28.52,23.966938018798828,19.39491081237793,24.87553596496582,25.311168670654297,23.38713836669922,21.7155,23.782,27.4924,28.5181,25.377000000000002
2016-01-04 08:00:00,34.74,26.57519340515137,23.55171203613281,28.02259826660156,27.303035736083984,26.36313486099243,24.4943,27.3916,29.1563,29.7523,27.698625000000003
2016-01-04 09:00:00,33.46,28.68529510498047,25.08337211608887,27.31842041015625,27.9468936920166,27.258495330810547,24.7416,25.696,28.672,29.0939,27.050875
2016-01-04 10:00:00,33.24,30.06156921386719,26.110469818115234,26.884660720825195,28.17579460144043,27.80812358856201,25.5683,25.7899,26.7671,27.1289,26.31355
2016-01-04 11:00:00,35.09,32.63795852661133,29.034770965576172,28.165884017944336,29.88093566894531,29.929887294769287,26.8728,26.2665,26.8496,28.2771,27.0665
2016-01-04 12:00:00,35.0,32.73250198364258,29.78927993774414,28.319049835205078,28.851749420166016,29.923145294189453,27.3934,26.2441,27.8228,28.8726,27.583225
2016-01-04 13:00:00,35.0,32.63909149169922,29.18858528137207,29.870153427124023,28.903751373291016,30.150395393371582,27.731,26.0443,28.0164,29.4197,27.80285
2016-01-04 14:00:00,34.94,34.31329345703125,30.39908218383789,32.922725677490234,30.04987907409668,31.921245098114014,29.8371,28.4295,29.2565,30.4347,29.489449999999998
2016-01-04 15:00:00,34.92,36.86333465576172,31.72342872619629,35.44410705566406,32.779312133789055,34.20254564285278,30.1367,30.5253,31.9393,32.9528,31.388525
2016-01-04 16:00:00,38.0,39.69769287109375,34.22225570678711,38.371192932128906,35.52532958984375,36.95411777496338,33.4595,33.3953,35.3266,36.0495,34.557725
2016-01-04 17:00:00,41.21,46.71887969970703,41.88107681274414,46.92925262451172,42.27714157104492,44.45158767700195,45.1679,44.0953,43.8208,43.4063,44.122575
2016-01-04 18:00:00,42.95,47.849365234375,43.44798278808594,48.55857467651367,45.91201400756836,46.44198417663574,40.4492,44.128,44.5623,45.2174,43.589225
2016-01-04 19:00:00,41.96,46.387245178222656,41.32533264160156,45.26499938964844,43.68064880371094,44.1645565032959,37.3947,39.5259,43.1608,43.6384,40.92995
2016-01-04 20:00:00,34.94,40.52539825439453,36.3182373046875,39.36291885375977,38.12459182739258,38.582786560058594,32.736,34.4429,38.2572,39.2948,36.182725
2016-01-04 21:00:00,30.66,34.354660034179695,31.41408920288086,35.241539001464844,32.569190979003906,33.394869804382324,28.8638,30.2847,35.1129,35.0892,32.337650000000004
2016-01-04 22:00:00,30.0,32.589797973632805,30.84681701660156,33.46945953369141,31.10849952697754,32.00364351272583,29.839,30.1617,33.8411,33.8085,31.912574999999997
2016-01-04 23:00:00,23.9,26.49646377563477,25.28096008300781,28.87230682373047,25.78896331787109,26.609673500061035,25.0136,25.8327,27.0886,27.4626,26.349375
2016-01-05 00:00:00,25.03,23.4605655670166,23.81144905090332,23.533618927001953,23.738319396972656,23.635988235473633,23.2647,23.6656,22.5062,22.4257,22.96555
2016-01-05 01:00:00,24.42,22.159223556518555,22.27478790283203,22.16924476623535,22.02826499938965,22.157880306243896,20.648,21.8354,21.0256,21.5492,21.26455
2016-01-05 02:00:00,22.34,20.91457939147949,20.34782600402832,20.521053314208984,20.727140426635746,20.627649784088135,18.5966,21.0661,19.9763,20.2309,19.967475
2016-01-05 03:00:00,21.5,19.540489196777344,19.817684173583984,19.068931579589844,19.73960876464844,19.541678428649902,18.5875,20.8456,18.5241,19.1751,19.283075
2016-01-05 04:00:00,20.0,20.36973190307617,20.144695281982425,19.974679946899414,20.49058723449707,20.24492359161377,20.5075,19.9116,19.9547,19.9948,20.09215
2016-01-05 05:00:00,23.53,22.171436309814453,21.70769500732422,22.383031845092773,23.15663146972656,22.354698657989502,22.0423,21.3688,23.3278,22.9937,22.43315
2016-01-05 06:00:00,28.96,27.63751983642578,26.32764434814453,29.39207649230957,30.47882652282715,28.459016799926758,26.1387,27.8067,29.0429,29.1934,28.045424999999998
2016-01-05 07:00:00,38.32,37.07362365722656,33.72652816772461,36.5262451171875,40.82575988769531,37.038039207458496,33.8976,36.897,39.5838,39.323,37.42535
2016-01-05 08:00:00,41.45,40.0791130065918,35.543701171875,37.62866973876953,42.31155776977539,38.89076042175293,37.1011,38.8273,41.225,42.1747,39.832025
2016-01-05 09:00:00,40.72,40.060203552246094,35.79279327392578,35.80870056152344,42.01100540161133,38.41817569732666,36.5847,37.4942,40.4862,40.1399,38.676249999999996
2016-01-05 10:00:00,40.66,38.61751937866211,33.958431243896484,34.542259216308594,40.69847869873047,36.954172134399414,34.9619,36.5792,37.7945,37.9087,36.811075
2016-01-05 11:00:00,40.33,39.11193466186523,34.235435485839844,34.776668548583984,41.374549865722656,37.37464714050293,36.8921,36.5155,38.5379,37.5774,37.380725
2016-01-05 12:00:00,38.25,37.54351806640625,32.320995330810554,33.87017059326172,39.43873977661133,35.79335594177246,35.0064,34.0386,37.1031,35.9988,35.536725000000004
2016-01-05 13:00:00,36.98,36.99821472167969,32.69506072998047,34.27515411376953,39.64101791381836,35.90236186981201,34.6899,34.2671,36.4423,36.1436,35.385725
2016-01-05 14:00:00,34.91,36.95278549194336,32.952903747558594,35.00003433227539,39.48429870605469,36.09750556945801,35.0186,34.9457,37.5828,36.7343,36.07035
2016-01-05 15:00:00,33.5,38.70380401611328,34.57270050048828,37.20768356323242,40.60348129272461,37.77191734313965,36.7623,36.9246,39.8306,38.1006,37.90452500000001
2016-01-05 16:00:00,35.1,41.3526496887207,37.20913314819336,39.16758728027344,42.59263229370117,40.08050060272217,39.2227,40.0192,42.2773,40.3981,40.479325
2016-01-05 17:00:00,42.44,46.9575424194336,42.93596649169922,45.62969589233398,48.15434646606445,45.91938781738281,46.3937,47.0755,50.4769,48.386,48.083025
2016-01-05 18:00:00,42.94,47.52188110351562,46.7336311340332,47.64556503295898,48.253662109375,47.5386848449707,43.2236,44.4053,49.5975,49.6981,46.73112499999999
2016-01-05 19:00:00,41.74,43.56319808959961,42.41082000732422,43.79058456420898,43.34232711791992,43.276732444763184,41.1354,41.0135,47.4475,46.568,44.0411
2016-01-05 20:00:00,36.47,36.49644470214844,35.04720687866211,37.416770935058594,37.60261917114258,36.64076042175293,34.5497,36.0549,39.4417,39.5429,37.3973
2016-01-05 21:00:00,33.01,31.99047470092773,29.306678771972656,32.43240737915039,31.7320613861084,31.365405559539795,30.9393,31.8962,33.241,33.3019,32.3446
