,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,LEAR 56,LEAR 84,LEAR 1092,LEAR 1456,LEAR Ensemble
2015-01-04 00:00:00,36.26,37.908103942871094,34.34671401977539,39.20437622070313,36.13066864013672,36.89746570587158,38.9034,40.3029,36.1261,36.7075,38.009975
2015-01-04 01:00:00,32.28,34.774219512939446,30.48871994018555,35.83164978027344,30.776613235473636,32.96780061721802,33.6675,35.3067,34.2208,35.0494,34.5611
2015-01-04 02:00:00,27.63,30.16580581665039,25.903926849365234,32.988704681396484,25.99009895324707,28.762134075164795,29.7656,29.9791,30.3686,29.7828,29.974025
2015-01-04 03:00:00,23.94,24.531938552856445,20.48118782043457,25.61033058166504,21.75592041015625,23.094844341278076,25.5819,24.7001,23.9349,25.0935,24.8276
2015-01-04 04:00:00,15.69,22.675518035888672,18.254789352416992,24.09060287475586,19.80563735961914,21.206636905670166,22.3733,21.9765,21.7285,22.3996,22.119475
2015-01-04 05:00:00,18.14,23.961200714111328,17.947221755981445,26.013845443725586,19.14311981201172,21.76634693145752,24.0218,24.8493,20.3962,21.3903,22.6644
2015-01-04 06:00:00,20.03,24.6551513671875,16.859550476074222,27.11137771606445,19.38591766357422,22.002999305725098,20.0524,21.6014,20.244,16.2391,19.534225
2015-01-04 07:00:00,19.23,24.736576080322266,17.795236587524414,28.51665496826172,20.307273864746094,22.838935375213623,25.0418,27.2258,18.1828,10.6193,20.267425
2015-01-04 08:00:00,27.31,29.34997940063477,22.590900421142575,32.403865814208984,23.33170890808105,26.919113636016846,26.2054,23.296999999999997,18.2607,14.9691,20.68305
2015-01-04 09:00:00,34.54,34.474693298339844,27.61017227172852,37.06512451171875,26.579763412475586,31.432438373565674,30.3848,32.4917,26.6449,21.4497,27.742775
2015-01-04 10:00:00,36.7,38.61840057373047,30.96613311767578,39.94415664672852,29.55152130126953,34.770052909851074,24.3245,33.8418,30.5175,30.0375,29.680325
2015-01-04 11:00:00,37.14,40.56189727783203,33.600250244140625,42.015472412109375,33.515213012695305,37.423208236694336,35.7958,36.8719,36.0755,34.2494,35.74815
2015-01-04 12:00:00,42.55,42.24297332763672,35.37942123413086,42.707027435302734,35.271217346191406,38.90015983581543,40.59,41.5368,38.7614,37.2907,39.544725
2015-01-04 13:00:00,38.34,39.32033920288086,32.2745361328125,40.365013122558594,31.070425033569336,35.75757837295532,34.9906,36.3975,37.0071,34.2571,35.663075000000006
2015-01-04 14:00:00,32.68,34.92862701416016,27.71059226989746,35.91924285888672,25.65127372741699,31.052433967590332,31.3051,34.2774,31.9787,28.3483,31.477375
2015-01-04 15:00:00,25.25,32.254180908203125,26.734025955200195,34.334590911865234,24.83642578125,29.53980588912964,29.7946,32.3262,30.162,26.4606,29.68585
2015-01-04 16:00:00,30.43,32.413330078125,28.91801834106445,33.878536224365234,28.98688507080078,31.049192428588867,23.5847,35.4002,28.4485,26.8572,28.57265
2015-01-04 17:00:00,43.04,39.07225036621094,38.823978424072266,41.84141159057617,40.04341125488281,39.94526290893555,38.9118,43.7559,40.0703,37.3746,40.02815
2015-01-04 18:00:00,54.35,48.72685241699219,49.25032424926758,51.21908569335938,48.68975830078125,49.4715051651001,45.6827,48.8816,49.5013,47.2685,47.83352500000001
2015-01-04 19:00:00,51.57,51.15035629272461,51.88373565673828,52.6098861694336,50.07492065429688,51.42972469329834,46.7303,47.2632,50.8989,49.593999999999994,48.6216
2015-01-04 20:00:00,49.99,47.87017059326172,46.9372673034668,48.09650421142578,46.27565002441406,47.29489803314209,43.4742,43.2581,45.5152,47.1322,44.844925
2015-01-04 21:00:00,41.18,42.552677154541016,43.32373046875,45.28013610839844,43.34519958496094,43.6254358291626,39.4356,39.9904,42.9757,42.4717,41.21835
2015-01-04 22:00:00,44.79,44.37371826171875,44.655670166015625,44.892066955566406,45.33164596557617,44.81327533721924,43.1229,43.9713,43.077,43.5115,43.420675
2015-01-04 23:00:00,42.96,42.24866104125977,43.30715942382813,42.989601135253906,43.23566818237305,42.94527244567871,42.8464,43.2518,42.2153,41.2998,42.403325
2015-01-05 00:00:00,36.56,35.90857315063477,37.648475646972656,36.99982452392578,36.119476318359375,36.669087409973145,39.3285,39.0498,38.7816,37.5454,38.676325
2015-01-05 01:00:00,34.94,32.165382385253906,34.20440673828125,33.49646759033203,32.391685485839844,33.06448554992676,34.5756,34.4992,34.6552,34.8629,34.648225000000004
2015-01-05 02:00:00,32.19,28.691022872924805,30.37125015258789,30.09661674499512,29.36151695251465,29.630101680755615,31.6913,30.9813,31.8341,32.1044,31.652775
2015-01-05 03:00:00,23.53,22.840335845947266,26.00152015686035,23.81451416015625,26.801593780517575,24.86449098587036,26.7612,29.1051,25.8142,26.3518,27.008075
2015-01-05 04:00:00,22.92,20.92916488647461,24.727643966674805,23.04794311523437,25.92614555358887,23.657724380493164,25.7211,24.4714,24.0684,25.2997,24.89015
2015-01-05 05:00:00,34.26,29.61769676208496,30.046646118164066,29.767343521118164,31.47028732299805,30.22549343109131,31.2421,31.1512,30.8805,31.8786,31.2881
2015-01-05 06:00:00,44.28,41.2319564819336,40.682952880859375,39.46303939819336,44.21097946166992,41.39723205566406,36.1455,36.9975,41.5742,42.275,39.24805
2015-01-05 07:00:00,50.38,52.12797927856445,51.30281066894531,51.68283081054688,54.41253280639648,52.38153839111328,43.0558,46.3022,53.545,55.0469,49.487475
2015-01-05 08:00:00,53.79,53.42563247680664,56.27638244628906,52.66443252563477,56.8715705871582,54.80950450897217,47.5962,49.9917,56.4716,55.9883,52.51195000000001
2015-01-05 09:00:00,52.03,54.62401962280274,57.85481262207031,53.58461380004883,57.60768508911133,55.9177827835083,50.7364,51.3976,55.5324,55.1378,53.20105
2015-01-05 10:00:00,50.6,53.22011184692383,56.30302429199219,53.91823196411133,56.76547241210938,55.05171012878418,50.0074,50.8939,53.2729,54.1109,52.071275
2015-01-05 11:00:00,50.5,54.42306518554688,55.86600875854492,54.30312728881836,56.73797988891602,55.33254528045654,51.773999999999994,53.0608,54.1889,54.3971,53.3552
2015-01-05 12:00:00,48.45,52.755760192871094,55.96395492553711,53.96566772460938,56.00028610229492,54.671417236328125,51.5491,52.9008,54.7714,53.8798,53.27527499999999
2015-01-05 13:00:00,44.54,51.75048065185547,54.70213317871094,52.69611740112305,54.20317459106445,53.33797645568848,49.7489,51.7795,54.431999999999995,52.8337,52.198525
2015-01-05 14:00:00,42.0,48.85168838500977,52.90593338012695,52.03192901611328,51.83053588867188,51.40502166748047,49.6517,52.3937,53.1432,50.7277,51.479075
2015-01-05 15:00:00,43.1,46.45072555541992,50.97098159790039,49.34923553466797,48.87120819091797,48.91053771972656,45.9161,46.8949,50.4981,49.0854,48.098625
2015-01-05 16:00:00,46.7,49.15226364135742,52.9194221496582,50.95974349975586,51.08929824829102,51.030181884765625,50.7817,50.9711,51.5629,49.6113,50.73175
2015-01-05 17:00:00,56.78,56.79957962036133,61.59384155273438,60.87564086914063,62.03630828857422,60.32634258270264,56.915,62.2821,62.8503,60.843999999999994,60.72285
2015-01-05 18:00:00,58.84,67.06327819824219,70.15254211425781,69.15708160400389,69.78208923339844,69.03874778747559,60.4155,63.4937,73.741,69.1839,66.708525
2015-01-05 19:00:00,53.6,64.02826690673828,67.96640777587889,63.44459915161133,67.45626068115234,65.72388362884521,56.7144,54.7478,65.926,63.9391,60.331825
2015-01-05 20:00:00,46.9,55.60584259033203,59.121482849121094,56.84414291381836,57.35567855834961,57.23178672790527,50.9979,51.5759,56.0439,56.8679,53.8714
2015-01-05 21:00:00,44.58,45.9829216003418,53.49726104736328,48.50575637817383,50.197509765625,49.54586219787598,45.3443,44.0984,49.7426,47.8921,46.76935
2015-01-05 22:00:00,48.7,48.32632827758789,53.69426727294922,50.18582534790039,51.10789108276367,50.82857799530029,49.6079,47.3291,50.0754,47.7683,48.695175000000006
2015-01-05 23:00:00,46.06,46.472328186035156,51.10458374023438,47.98452377319336,49.87475967407226,48.85904884338379,48.6301,46.5548,48.6396,45.8424,47.416725
2015-01-06 00:00:00,45.56,43.84722518920898,39.836097717285156,42.568695068359375,43.37246322631836,42.40612030029297,43.3948,41.0133,42.638999999999996,42.2459,42.32325
