,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,Lasso 56,Lasso 84,Lasso 1092,Lasso 1456,Lasso Ensemble
2015-01-04 00:00:00,36.26,37.559181213378906,36.286582946777344,38.62565612792969,36.83782577514648,37.327311515808105,38.9034,40.3029,36.1261,36.7075,38.009975000000004
2015-01-04 01:00:00,32.28,33.073719024658196,32.72794723510742,34.00545883178711,33.280452728271484,33.271894454956055,33.6675,35.3067,34.2208,35.0494,34.561099999999996
2015-01-04 02:00:00,27.63,29.237567901611328,28.04057884216309,29.54830551147461,27.95907211303711,28.696381092071533,29.7656,29.9791,30.3686,29.7828,29.974024999999997
2015-01-04 03:00:00,23.94,23.42349624633789,23.39887809753418,24.673479080200195,24.114776611328125,23.902657508850098,25.5819,24.7001,23.9349,25.0935,24.827599999999997
2015-01-04 04:00:00,15.69,21.172121047973636,19.67136001586914,22.94069862365723,21.526935577392575,21.327778816223145,22.3733,21.9765,21.7285,22.3996,22.119475
2015-01-04 05:00:00,18.14,21.06941032409668,18.13027572631836,23.4602108001709,19.956756591796875,20.654163360595703,24.0218,24.8493,20.3962,21.3903,22.6644
2015-01-04 06:00:00,20.03,22.02350616455078,19.56079864501953,24.361194610595703,16.208141326904293,20.538410186767578,20.0524,21.6014,20.244,16.2391,19.534225
2015-01-04 07:00:00,19.23,24.13935089111328,22.534624099731445,27.71562767028809,18.595584869384766,23.246296882629395,25.0418,27.2258,18.1828,10.6193,20.267425
2015-01-04 08:00:00,27.31,29.074329376220703,25.867977142333984,31.593706130981445,22.398481369018555,27.233623504638672,26.2054,23.297,18.2607,14.9691,20.68305
2015-01-04 09:00:00,34.54,34.219223022460945,29.27017974853516,37.716651916503906,28.415342330932614,32.405349254608154,30.3848,32.4917,26.6449,21.4497,27.742775
2015-01-04 10:00:00,36.7,38.84619522094727,31.91923713684082,39.6628303527832,32.0931396484375,35.6303505897522,24.3245,33.8418,30.5175,30.0375,29.680324999999996
2015-01-04 11:00:00,37.14,41.7333984375,35.097808837890625,42.92523956298828,33.75162124633789,38.3770170211792,35.7958,36.8719,36.0755,34.2494,35.74815
2015-01-04 12:00:00,42.55,44.08172225952149,37.1086311340332,44.50822448730469,34.44534683227539,40.03598117828369,40.59,41.5368,38.7614,37.2907,39.544725
2015-01-04 13:00:00,38.34,39.576133728027344,33.577056884765625,40.28746032714844,31.680938720703125,36.28039741516113,34.9906,36.3975,37.0071,34.2571,35.663075000000006
2015-01-04 14:00:00,32.68,35.81092834472656,29.518909454345703,37.11736679077149,27.46259307861328,32.47744941711426,31.3051,34.2774,31.9787,28.3483,31.477375
2015-01-04 15:00:00,25.25,33.90111541748047,27.393156051635746,35.56490707397461,25.77695655822754,30.65903377532959,29.7946,32.3262,30.162,26.4606,29.685850000000002
2015-01-04 16:00:00,30.43,34.20154571533203,30.23879432678223,36.3304443359375,26.6468448638916,31.85440731048584,23.5847,35.4002,28.4485,26.8572,28.572649999999996
2015-01-04 17:00:00,43.04,43.97729110717773,38.71494674682617,44.60844039916992,36.16630554199219,40.866745948791504,38.9118,43.7559,40.0703,37.3746,40.02815
2015-01-04 18:00:00,54.35,51.87875366210938,47.9269027709961,52.82219314575195,46.535911560058594,49.790940284729004,45.6827,48.8816,49.5013,47.2685,47.83352500000001
2015-01-04 19:00:00,51.57,53.77338027954102,49.94440460205078,54.39111328125,48.45599365234375,51.64122295379639,46.7303,47.2632,50.8989,49.594,48.6216
2015-01-04 20:00:00,49.99,50.5787582397461,46.774375915527344,50.40377426147461,43.486183166503906,47.81077289581299,43.4742,43.2581,45.5152,47.1322,44.844925
2015-01-04 21:00:00,41.18,45.902061462402344,45.94755935668945,44.59926223754883,40.79954147338867,44.312106132507324,39.4356,39.9904,42.9757,42.4717,41.21835
2015-01-04 22:00:00,44.79,48.53251266479492,46.74054718017578,46.87866592407226,43.67170715332031,46.45585823059082,43.1229,43.9713,43.077,43.5115,43.420675
2015-01-04 23:00:00,42.96,45.43366241455078,46.00249862670898,44.8049201965332,40.54810333251953,44.197296142578125,42.8464,43.2518,42.2153,41.2998,42.403325
2015-01-05 00:00:00,36.56,39.09687805175781,38.35260009765625,38.774269104003906,36.68920135498047,38.22823715209961,39.3285,39.0498,38.7816,37.5454,38.676325
2015-01-05 01:00:00,34.94,35.67618179321289,34.50393295288086,35.199737548828125,33.213417053222656,34.64831733703613,34.5756,34.4992,34.6552,34.8629,34.648225000000004
2015-01-05 02:00:00,32.19,31.566316604614254,30.62310791015625,32.18881225585937,30.08157157897949,31.114952087402344,31.6913,30.9813,31.8341,32.1044,31.652775
2015-01-05 03:00:00,23.53,25.181644439697266,26.779863357543945,26.180891036987305,23.79015922546387,25.483139514923096,26.7612,29.1051,25.8142,26.3518,27.008074999999998
2015-01-05 04:00:00,22.92,24.11273002624512,25.81523132324219,26.183189392089844,23.49725341796875,24.902101039886475,25.7211,24.4714,24.0684,25.2997,24.89015
2015-01-05 05:00:00,34.26,30.46006202697754,31.33392906188965,31.68618392944336,31.47864532470703,31.239705085754395,31.2421,31.1512,30.8805,31.8786,31.2881
2015-01-05 06:00:00,44.28,39.93037414550781,43.71022415161133,41.66670989990234,42.17048263549805,41.86944770812988,36.1455,36.9975,41.5742,42.275,39.24805
2015-01-05 07:00:00,50.38,50.42516326904297,53.45087432861328,53.10237503051758,53.91350173950195,52.722978591918945,43.0558,46.3022,53.545,55.0469,49.487475
2015-01-05 08:00:00,53.79,53.42998504638672,60.101463317871094,55.92757415771485,55.99034881591797,56.362342834472656,47.5962,49.9917,56.4716,55.9883,52.511950000000006
2015-01-05 09:00:00,52.03,55.41873168945313,63.177162170410156,55.42745971679688,56.21109008789063,57.558610916137695,50.7364,51.3976,55.5324,55.1378,53.20105
2015-01-05 10:00:00,50.6,55.99638366699219,61.68568420410156,56.5352897644043,57.47317504882813,57.92263317108154,50.0074,50.8939,53.2729,54.1109,52.071275
2015-01-05 11:00:00,50.5,56.72183227539063,62.87597274780274,57.02946853637695,56.95793914794922,58.39630317687988,51.774,53.0608,54.1889,54.3971,53.355199999999996
2015-01-05 12:00:00,48.45,57.24800491333008,61.46658325195313,57.391456604003906,57.13880920410156,58.31121349334717,51.5491,52.9008,54.7714,53.8798,53.27527499999999
2015-01-05 13:00:00,44.54,54.65921020507813,56.54542922973633,55.5401725769043,55.49821472167969,55.56075668334961,49.7489,51.7795,54.432,52.8337,52.198525
2015-01-05 14:00:00,42.0,51.78178405761719,52.272010803222656,52.73396682739258,53.85569763183594,52.66086483001709,49.6517,52.3937,53.1432,50.7277,51.479075
2015-01-05 15:00:00,43.1,49.6265869140625,50.189842224121094,51.10757827758789,51.584251403808594,50.62706470489502,45.9161,46.8949,50.4981,49.0854,48.098625
2015-01-05 16:00:00,46.7,51.56755447387695,53.27771759033203,53.12135696411133,52.82337951660156,52.69750213623047,50.7817,50.9711,51.5629,49.6113,50.73175
2015-01-05 17:00:00,56.78,61.80447006225586,63.68899917602539,61.477783203125,63.5187873840332,62.62250995635986,56.915,62.2821,62.8503,60.844,60.72285
2015-01-05 18:00:00,58.84,71.27738952636719,72.36874389648438,69.64824676513672,71.98457336425781,71.31973838806152,60.4155,63.4937,73.741,69.1839,66.708525
2015-01-05 19:00:00,53.6,66.41513061523439,71.09357452392578,65.93881225585939,66.14065551757811,67.39704322814941,56.7144,54.7478,65.926,63.9391,60.331824999999995
2015-01-05 20:00:00,46.9,59.81612014770508,61.6613883972168,58.27771377563477,61.00184631347656,60.1892671585083,50.9979,51.5759,56.0439,56.8679,53.8714
2015-01-05 21:00:00,44.58,51.734840393066406,54.60704803466797,50.2105484008789,53.35702133178711,52.4773645401001,45.3443,44.0984,49.7426,47.8921,46.76935
2015-01-05 22:00:00,48.7,53.32204818725586,52.25798034667969,52.44787979125977,51.05862808227539,52.271634101867676,49.6079,47.3291,50.0754,47.7683,48.695175000000006
2015-01-05 23:00:00,46.06,51.49790954589844,49.89163208007813,50.12609100341797,48.22653198242188,49.9355411529541,48.6301,46.5548,48.6396,45.8424,47.416725
2015-01-06 00:00:00,45.56,42.67834854125977,41.974517822265625,42.97926712036133,44.36251449584961,42.99866199493408,43.3948,41.0133,42.639,42.2459,42.32325
2015-01-06 01:00:00,40.28,39.80923080444336,38.83687973022461,41.37480163574219,42.22477340698242,40.561421394348145,39.4634,38.3999,39.6334,38.7966,39.073325
2015-01-06 02:00:00,39.2,36.76761245727539,35.4140625,38.87861251831055,39.99170684814453,37.76299858093262,36.3285,35.8931,37.3806,36.1974,36.4499
2015-01-06 03:00:00,36.22,32.48210906982422,31.926820755004893,34.78612899780273,35.48498916625977,33.6700119972229,31.3709,33.0166,31.2724,30.2722,31.483024999999998
2015-01-06 04:00:00,34.04,30.95281791687012,31.43307113647461,33.2958984375,35.130386352539055,32.70304346084595,28.8018,28.5412,28.4824,28.8626,28.672
2015-01-06 05:00:00,38.58,34.701160430908196,36.05165100097656,38.01588439941406,38.495094299316406,36.81594753265381,34.6404,34.1463,34.0458,33.9123,34.1862
2015-01-06 06:00:00,43.32,41.70573043823242,45.12628555297852,46.13311386108398,46.49224090576172,44.86434268951416,37.462,39.3228,41.9007,42.2277,40.228300000000004
2015-01-06 07:00:00,50.0,49.8968620300293,52.43765258789063,56.93949508666992,56.10866928100586,53.845669746398926,44.4044,46.5336,52.4493,53.5558,49.235775000000004
2015-01-06 08:00:00,49.53,52.3486213684082,55.03938293457031,59.24700546264648,58.065391540527344,56.175100326538086,50.5042,50.19,56.0168,54.4378,52.787200000000006
2015-01-06 09:00:00,50.87,53.95576858520508,53.61933135986328,58.19513702392578,59.30602645874024,56.269065856933594,51.4504,51.4845,54.7101,54.0844,52.93235
2015-01-06 10:00:00,50.86,53.88920593261719,51.51759338378906,57.02560043334961,54.77132415771485,54.300930976867676,51.0746,51.0953,52.6944,52.8671,51.93285
2015-01-06 11:00:00,50.17,53.99887466430664,50.94702911376953,56.83285903930664,55.20510482788086,54.24596691131592,50.3767,52.3111,52.7764,52.6229,52.021775000000005
2015-01-06 12:00:00,47.97,53.48998641967773,50.57898330688477,54.84063720703125,52.68844985961914,52.89951419830322,50.5525,51.7466,51.4724,51.202,51.243375
2015-01-06 13:00:00,45.2,51.13533401489258,48.81929016113281,52.67911148071289,51.17929077148438,50.953256607055664,49.0319,50.8115,51.5491,50.6738,50.516575
2015-01-06 14:00:00,41.45,47.82993698120117,46.44969940185547,49.85483169555664,49.72565460205078,48.465030670166016,48.9719,48.5713,49.4623,48.9183,48.98094999999999
2015-01-06 15:00:00,40.08,46.37195205688477,45.28734970092773,48.51529312133789,49.22987365722656,47.35111713409424,46.4926,45.8887,47.0505,46.603,46.508700000000005
2015-01-06 16:00:00,43.62,47.05443954467773,48.01432418823242,48.6231460571289,49.77411270141602,48.36650562286377,49.2906,48.735,48.1596,48.7419,48.731775
2015-01-06 17:00:00,48.55,54.73920440673828,55.43198776245117,58.11758422851562,57.45735931396485,56.43653392791748,56.4334,57.351,57.1226,58.2905,57.299375000000005
2015-01-06 18:00:00,52.32,62.72538757324219,61.47748184204102,68.47817230224611,65.52846527099611,64.55237674713135,58.437,58.648,65.1559,64.1628,61.600925000000004
2015-01-06 19:00:00,53.1,58.33378219604492,58.24145889282226,61.39488220214844,59.27741241455078,59.3118839263916,55.7146,54.7655,62.6769,61.3595,58.629124999999995
2015-01-06 20:00:00,48.78,51.76913833618164,50.37863540649414,52.62689590454102,50.85848999023438,51.40828990936279,49.1407,51.2413,54.477,54.8081,52.416775
2015-01-06 21:00:00,43.91,46.09316635131836,45.40940475463867,46.00349426269531,45.94775772094727,45.8634557723999,43.8497,46.3188,46.7701,46.2411,45.794925000000006
2015-01-06 22:00:00,44.58,47.94447708129883,45.387062072753906,48.18349838256836,47.74866104125977,47.315924644470215,49.0519,49.5607,48.9873,48.1605,48.9401
2015-01-06 23:00:00,45.73,46.0489273071289,43.790958404541016,45.60069274902344,46.76369857788086,45.551069259643555,47.6155,48.0095,46.1918,45.123,46.73495
2015-01-07 00:00:00,40.0,40.501991271972656,41.458351135253906,41.31029891967773,41.5664176940918,41.20926475524902,43.064,41.7042,41.1282,40.9854,41.72045
2015-01-07 01:00:00,36.69,38.56991195678711,39.13286590576172,38.2792854309082,39.388404846191406,38.84261703491211,39.6688,37.0192,37.5873,37.9826,38.064474999999995
2015-01-07 02:00:00,37.45,35.96295547485352,35.80559158325195,35.11293411254883,36.64861679077149,35.882524490356445,35.6556,33.4889,35.4411,36.4147,35.250075
2015-01-07 03:00:00,32.08,31.14092063903809,31.77546310424805,30.55587577819824,31.95223045349121,31.356122493743896,31.4053,29.5123,31.1512,31.6471,30.928974999999998
2015-01-07 04:00:00,29.48,29.45642852783203,29.701496124267567,29.79491806030273,30.493974685668945,29.86170434951782,27.1487,26.3542,29.497,29.7562,28.189025
2015-01-07 05:00:00,34.94,32.872188568115234,34.320411682128906,33.18227767944336,33.75737762451172,33.533063888549805,32.0014,32.4585,33.5373,34.3448,33.0855
2015-01-07 06:00:00,41.74,39.01560974121094,42.70363998413086,40.26756286621094,39.79431915283203,40.44528293609619,36.9407,39.0348,39.6302,41.2956,39.225325
2015-01-07 07:00:00,49.17,44.86317443847656,49.27263641357422,49.15251922607422,49.0069694519043,48.073824882507324,44.2883,44.6992,48.6036,50.4715,47.015649999999994
2015-01-07 08:00:00,54.44,48.9474983215332,51.38640213012695,52.94187545776367,53.11833953857422,51.59852886199951,47.2846,48.8179,50.9535,51.8219,49.719474999999996
2015-01-07 09:00:00,50.99,50.42494583129883,51.95823287963867,52.897743225097656,55.67535018920898,52.739068031311035,47.6402,48.1181,52.3658,51.734,49.964525
2015-01-07 10:00:00,50.0,50.51585006713867,51.801719665527344,54.78805160522461,55.73745727539063,53.21076965332031,47.7685,48.6247,51.8059,51.6526,49.962925000000006
2015-01-07 11:00:00,51.22,50.46535110473633,51.65232467651367,53.65263748168945,56.23249435424805,53.000701904296875,47.7036,48.8039,50.8028,51.538,49.712075
2015-01-07 12:00:00,50.15,50.33322143554688,51.19425964355469,52.75358581542969,54.07894515991211,52.09000301361084,48.7471,49.4919,49.1912,49.9119,49.335525000000004
2015-01-07 13:00:00,51.46,46.989479064941406,48.48550033569336,49.91632461547852,52.20538330078125,49.39917182922363,44.6102,47.4624,48.8488,48.8175,47.434725
2015-01-07 14:00:00,50.88,43.64262390136719,45.26875686645508,47.62401962280274,49.58855819702149,46.53098964691162,42.3818,42.7133,46.9091,47.0731,44.769324999999995
2015-01-07 15:00:00,48.0,41.29258728027344,43.6807975769043,43.50883865356445,47.15512466430664,43.90933704376221,39.7302,41.43,44.3603,44.2801,42.45015
2015-01-07 16:00:00,47.14,41.40338516235352,46.51309204101562,44.26399230957031,47.560325622558594,44.93519878387451,42.9211,44.0055,44.3573,44.9274,44.052825000000006
2015-01-07 17:00:00,51.07,47.73604965209961,51.06481170654297,48.99663543701172,52.55776977539063,50.08881664276123,49.3675,51.3358,51.9882,52.4121,51.2759
2015-01-07 18:00:00,52.46,55.24451446533203,55.20856475830078,59.31652450561523,62.62044143676758,58.097511291503906,54.6511,55.3956,58.3849,57.4267,56.464574999999996
2015-01-07 19:00:00,48.78,54.02571105957031,53.72475051879883,56.99377822875977,55.53955459594727,55.07094860076904,53.4374,54.0887,58.4272,58.0995,56.013200000000005
2015-01-07 20:00:00,47.45,48.24481582641602,47.21067428588867,49.44937515258789,50.3847885131836,48.82241344451904,47.6366,49.2544,50.3181,50.9178,49.531724999999994
2015-01-07 21:00:00,42.02,43.25307083129883,42.36895751953125,45.2436752319336,46.29106521606445,44.28919219970703,42.481,43.9378,44.7847,45.3664,44.142475000000005
2015-01-07 22:00:00,45.57,44.821537017822266,42.489967346191406,47.72369384765625,47.17553329467773,45.552682876586914,46.6458,46.8858,45.2449,45.5788,46.088825
2015-01-07 23:00:00,45.6,43.48237228393555,42.14445114135742,46.38922882080078,45.14678573608398,44.290709495544434,47.0663,44.7414,44.1333,43.4552,44.84905
2015-01-08 00:00:00,43.88,40.578857421875,41.76805877685547,40.43676376342773,39.74549865722656,40.63229465484619,43.9572,39.9535,40.9862,41.0507,41.4869
2015-01-08 01:00:00,35.65,38.84264373779297,39.87607955932617,36.7690315246582,37.261619567871094,38.18734359741211,39.1128,35.7925,38.1399,38.7019,37.936775
2015-01-08 02:00:00,35.87,37.19003677368164,37.70838928222656,33.926342010498054,36.219642639160156,36.2611026763916,36.0832,34.7567,36.7408,35.0842,35.666225000000004
2015-01-08 03:00:00,30.17,32.887847900390625,34.45531463623047,29.54633903503418,32.66159820556641,32.38777494430542,31.5591,33.8425,32.5931,31.2392,32.308475
2015-01-08 04:00:00,24.54,31.20002746582031,33.481155395507805,28.81735420227051,32.13380813598633,31.408086299896237,27.826,29.4974,31.3139,30.6145,29.81295
2015-01-08 05:00:00,32.0,34.41524124145508,36.5405387878418,32.154090881347656,34.75264358520508,34.4656286239624,34.7483,32.5042,34.2129,34.534,33.999849999999995
2015-01-08 06:00:00,40.96,40.003761291503906,43.05155944824219,40.83413314819336,41.32698059082031,41.30410861968994,36.2943,38.4297,40.6936,41.7585,39.294025
2015-01-08 07:00:00,49.53,46.90937042236328,50.14010238647461,50.38278579711914,51.25607299804688,49.67208290100098,39.5578,45.8274,51.059,51.4433,46.971875
2015-01-08 08:00:00,48.07,49.96375274658203,53.00846862792969,53.2568359375,58.241111755371094,53.6175422668457,47.1477,44.9681,55.6605,54.6217,50.5995
2015-01-08 09:00:00,48.75,52.52424621582031,52.00210571289063,54.82818984985352,57.23413848876953,54.147170066833496,46.2659,47.2596,53.3925,52.6172,49.8838
2015-01-08 10:00:00,49.29,52.57505416870117,50.490211486816406,54.90668869018555,54.70184326171875,53.16844940185547,46.0725,46.8992,51.9537,50.7776,48.92575
2015-01-08 11:00:00,49.33,52.93534469604492,49.82402038574219,53.52952194213867,55.93621444702149,53.056275367736816,46.5752,46.0333,52.3375,52.0344,49.2451
2015-01-08 12:00:00,48.43,53.0885009765625,49.04440307617188,52.17221450805664,52.34984970092773,51.66374206542969,47.212,46.9803,51.3089,50.8051,49.076575000000005
2015-01-08 13:00:00,47.21,50.02292251586914,46.05448532104492,50.18513107299805,51.76025009155274,49.50569725036621,45.8104,44.9782,50.6104,49.8421,47.810275000000004
2015-01-08 14:00:00,43.47,46.70857238769531,44.19480514526367,46.47709274291992,48.14761352539063,46.38202095031738,42.6527,42.5351,47.6856,47.5988,45.11805
2015-01-08 15:00:00,38.27,44.17644882202149,43.86482238769531,44.2616081237793,45.94007110595703,44.56073760986328,38.6202,39.1054,44.7319,44.9719,41.857350000000004
2015-01-08 16:00:00,41.07,44.15396118164063,45.90206909179688,42.98723983764648,45.34092330932617,44.59604835510254,38.6856,41.2922,45.074,45.7042,42.689
2015-01-08 17:00:00,47.97,49.77437210083008,50.24314880371094,50.11209487915039,49.56487274169922,49.923622131347656,44.9348,47.5701,50.974,51.6864,48.79132499999999
2015-01-08 18:00:00,51.25,55.07018280029297,54.60433578491211,58.30661392211914,54.76169967651367,55.68570804595947,50.8283,49.8823,54.6526,54.2745,52.409425
2015-01-08 19:00:00,50.31,53.653770446777344,52.0874252319336,55.53657150268555,50.10299301147461,52.84519004821777,50.1117,50.5374,55.2754,53.5325,52.36425
2015-01-08 20:00:00,47.97,48.4492416381836,44.433189392089844,47.44963455200195,47.09933090209961,46.85784912109375,45.7875,45.9895,49.9382,50.0576,47.943200000000004
2015-01-08 21:00:00,40.5,43.52869033813477,40.50393295288086,43.75358963012695,42.30849075317383,42.5236759185791,41.8966,42.1011,43.4874,43.2044,42.672375
2015-01-08 22:00:00,43.8,45.47895431518555,40.61930465698242,44.802059173583984,41.91291427612305,43.20330810546875,45.0868,43.9409,43.5212,43.8294,44.094575
2015-01-08 23:00:00,44.05,43.90679168701172,39.94842529296875,43.69023895263672,40.701751708984375,42.06180191040039,44.7036,43.6916,42.0044,42.6175,43.254275
2015-01-09 00:00:00,32.06,36.21136093139648,36.63204956054688,31.576457977294922,36.2818489074707,35.175429344177246,37.7289,37.2542,36.8924,37.3911,37.31665
2015-01-09 01:00:00,29.71,32.465530395507805,32.121978759765625,29.0708065032959,31.68755531311035,31.336467742919922,33.2461,32.6646,33.4417,34.4622,33.453649999999996
2015-01-09 02:00:00,28.53,29.93012619018555,29.090206146240234,25.90844345092773,30.414995193481445,28.83594274520874,28.4894,30.5657,30.8897,30.8661,30.202725
2015-01-09 03:00:00,23.75,26.366912841796875,25.588823318481445,22.35018539428711,25.74533843994141,25.01281499862671,27.5789,26.3123,25.329,25.9521,26.293075
2015-01-09 04:00:00,16.05,23.756437301635746,24.09700965881348,19.25106430053711,21.92947578430176,22.25849676132202,23.6595,23.9729,23.8731,24.2758,23.945325000000004
2015-01-09 05:00:00,21.44,26.79348182678223,28.234905242919922,22.93756866455078,26.09138488769531,26.01433515548706,24.6626,28.2956,28.7126,28.0702,27.43525
2015-01-09 06:00:00,31.86,34.35767364501953,35.82999038696289,30.331207275390625,33.19331741333008,33.42804718017578,34.5031,31.8853,36.7764,38.2647,35.357375000000005
2015-01-09 07:00:00,44.0,41.87170791625977,42.79675674438477,39.76109313964844,44.05595016479492,42.12137699127197,40.224,41.1345,46.4033,47.3252,43.77175
2015-01-09 08:00:00,45.82,44.38186264038086,44.94162368774414,43.60932922363281,44.82075500488281,44.438392639160156,46.1374,43.1318,48.9242,49.0235,46.804225
2015-01-09 09:00:00,45.59,46.57767868041992,43.0001335144043,43.246429443359375,46.07163619995117,44.72396945953369,45.462,43.8865,47.8515,47.4854,46.17135
2015-01-09 10:00:00,42.52,44.76884078979492,41.8936767578125,42.48273849487305,46.18333435058594,43.8321475982666,41.608,40.051,45.286,44.7763,42.930324999999996
2015-01-09 11:00:00,41.57,44.34841537475586,40.80570602416992,42.28992080688477,44.51333999633789,42.98934555053711,40.0146,39.0978,44.3208,44.0168,41.8625
2015-01-09 12:00:00,41.01,44.27932739257813,39.84775161743164,40.98501205444336,43.24383544921875,42.08898162841797,42.3248,43.7949,44.2732,44.0558,43.612175
2015-01-09 13:00:00,39.24,41.03800964355469,38.97806167602539,38.8979377746582,40.98406600952149,39.97451877593994,44.2641,39.8993,41.8793,41.0483,41.77275
2015-01-09 14:00:00,36.29,37.94031524658203,37.221885681152344,34.543174743652344,37.102394104003906,36.701942443847656,37.3892,36.1175,39.3206,38.2977,37.78125
2015-01-09 15:00:00,29.47,36.03041076660156,34.74573516845703,32.85364151000977,35.26666641235352,34.72411346435547,32.19,34.9425,36.5927,35.9268,34.913
2015-01-09 16:00:00,30.09,35.794212341308594,35.623374938964844,32.900733947753906,34.40656280517578,34.68122100830078,31.2557,31.2667,36.7946,37.5787,34.223925
2015-01-09 17:00:00,35.43,40.86685180664063,40.17612075805664,39.23698806762695,38.437896728515625,39.67946434020996,37.4164,42.64,41.7873,43.2172,41.265225
2015-01-09 18:00:00,41.0,45.15260696411133,44.49647903442383,47.08573532104492,43.539947509765625,45.068692207336426,49.4484,43.8106,46.0119,46.6639,46.4837
2015-01-09 19:00:00,38.95,44.32710266113281,41.19922256469727,41.81943893432617,42.93656921386719,42.57058334350586,45.9358,47.5942,43.8792,44.8002,45.55235
2015-01-09 20:00:00,32.53,38.885520935058594,35.77068328857422,35.362159729003906,35.97697067260742,36.498833656311035,40.8462,42.5507,40.8169,41.6833,41.474275
2015-01-09 21:00:00,26.69,33.215126037597656,32.55612564086914,28.99099349975586,31.766794204711914,31.632259845733643,36.4805,38.5468,35.0315,36.8783,36.734275
2015-01-09 22:00:00,26.56,36.55290603637695,32.839683532714844,31.191938400268555,37.14052200317383,34.431262493133545,39.2601,40.6032,36.1481,39.4172,38.857150000000004
2015-01-09 23:00:00,25.26,36.40636825561523,32.09158706665039,31.732511520385746,38.63801956176758,34.717121601104736,39.8612,41.4272,37.273,38.9328,39.373549999999994
2015-01-10 00:00:00,19.04,27.236835479736328,20.00470542907715,13.73460865020752,21.70228576660156,20.66960883140564,23.3157,24.0985,25.9291,27.1917,25.13375
2015-01-10 01:00:00,15.96,23.79298210144043,17.392547607421875,11.202275276184082,19.05907249450684,17.861719369888306,21.2982,20.8299,22.8616,25.3955,22.5963
2015-01-10 02:00:00,13.7,21.766164779663086,14.83169174194336,8.79496955871582,15.971617698669435,15.341110944747925,17.1294,17.8352,21.2455,22.4618,19.667975000000002
2015-01-10 03:00:00,11.01,15.028752326965332,10.0662841796875,5.059774875640869,11.012473106384276,10.291821122169495,10.6973,15.0578,15.6194,17.0167,14.5978
2015-01-10 04:00:00,9.08,11.770237922668455,5.998512268066406,2.320645809173584,7.441527843475343,6.882730960845947,6.1735,9.8637,11.1288,12.4705,9.909125
2015-01-10 05:00:00,9.28,15.679749488830565,5.816043853759767,1.9360545873641968,9.990418434143066,8.355566591024399,2.0831,9.0212,10.6548,12.1134,8.468125
2015-01-10 06:00:00,11.76,19.90066909790039,8.713897705078125,5.663057804107666,10.536005020141602,11.203407406806946,12.9297,1.9544,8.5703,9.9815,8.358975000000001
2015-01-10 07:00:00,15.84,23.191251754760746,12.457330703735352,7.332620143890381,16.080965042114258,14.765541911125183,14.0647,14.7696,8.7733,9.4512,11.7647
