,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,LEAR 56,LEAR 84,LEAR 1092,LEAR 1456,LEAR Ensemble
2016-12-27 00:00:00,24.08,24.53014373779297,24.83825492858887,25.12682342529297,25.108997344970703,24.901054859161377,25.129,24.9381,24.3565,24.8109,24.808625
2016-12-27 01:00:00,22.52,23.1158447265625,23.60841941833496,23.3909912109375,23.871862411499023,23.496779441833496,24.2083,24.4645,22.0323,22.6447,23.33745
2016-12-27 02:00:00,20.13,22.56350898742676,22.81523323059082,22.68695068359375,23.16806411743164,22.808439254760742,23.9289,23.8766,20.9948,20.8664,22.416675
2016-12-27 03:00:00,19.86,22.04738044738769,22.582897186279297,22.360286712646484,23.127620697021484,22.52954626083374,23.4943,24.2399,20.6269,19.4584,21.954875
2016-12-27 04:00:00,20.09,23.05572509765625,23.158973693847656,22.911869049072266,23.744691848754886,23.217814922332764,23.5104,24.5551,20.7978,20.7202,22.395875
2016-12-27 05:00:00,23.93,24.93613624572754,24.753498077392575,25.03162002563477,25.21293640136719,24.983547687530518,23.2742,24.1633,23.0053,23.3289,23.442925
2016-12-27 06:00:00,26.23,27.43819808959961,26.795827865600586,27.662221908569336,27.07659721374512,27.243211269378662,25.6383,28.5738,26.2635,25.8178,26.57335
2016-12-27 07:00:00,27.76,28.3651180267334,28.45265769958496,28.34038162231445,28.678394317626953,28.45913791656494,28.0168,30.2249,28.5625,28.5163,28.830125
2016-12-27 08:00:00,28.06,28.77684211730957,28.41689682006836,29.10114288330078,29.10136604309082,28.849061965942383,26.8896,29.7284,29.3136,29.6879,28.904875
2016-12-27 09:00:00,27.98,28.96489715576172,27.873353958129886,29.33193206787109,28.844024658203125,28.753551959991455,25.5207,29.7175,28.7859,29.0809,28.27625
2016-12-27 10:00:00,28.05,28.965167999267575,27.76560401916504,29.44834327697754,28.444690704345703,28.655951499938965,27.348000000000003,29.4,28.8692,28.9982,28.65385
2016-12-27 11:00:00,28.27,29.10755729675293,28.106359481811523,29.633037567138672,28.257253646850586,28.776051998138428,30.1273,26.8907,28.9414,28.9246,28.721
2016-12-27 12:00:00,28.33,29.08960723876953,28.33403396606445,29.52647590637207,28.1158447265625,28.76649045944214,30.0668,30.175,28.6889,28.5617,29.3731
2016-12-27 13:00:00,28.43,29.222013473510746,28.478748321533203,29.70620346069336,28.10217094421387,28.877284049987793,28.447,29.9449,28.0497,28.49,28.7329
2016-12-27 14:00:00,28.57,29.52790069580078,28.53065490722656,29.9825496673584,28.12271499633789,29.040955066680908,30.2504,29.18,28.2685,28.3779,29.0192
2016-12-27 15:00:00,28.83,29.98520851135254,28.923688888549805,30.747840881347656,28.382036209106445,29.50969362258911,31.1799,30.4394,28.3605,28.7852,29.69125
2016-12-27 16:00:00,29.51,30.31524085998535,29.28802299499512,31.4901065826416,28.62177276611328,29.928785800933838,30.7203,31.855,28.6613,29.5151,30.187925
2016-12-27 17:00:00,29.72,31.11572074890137,29.704015731811523,32.28599166870117,28.776050567626953,30.470444679260254,30.2695,31.5206,30.4136,30.1848,30.597125
2016-12-27 18:00:00,29.65,30.37788009643555,29.46837043762207,31.696876525878906,28.3826961517334,29.98145580291748,29.6165,29.5977,29.6597,29.5396,29.603375
2016-12-27 19:00:00,29.39,29.54146385192871,29.137451171875,31.178733825683594,28.09155082702637,29.487299919128418,28.7373,28.8441,28.4787,29.0885,28.78715
2016-12-27 20:00:00,29.14,28.88970375061035,29.160179138183594,30.162508010864254,27.91863441467285,29.032756328582764,28.4317,27.9818,27.9448,28.2148,28.143275
2016-12-27 21:00:00,28.37,28.348806381225586,28.88833045959473,29.60777282714844,27.71680450439453,28.64042854309082,28.0951,27.805999999999997,27.5893,27.826999999999998,27.82935
2016-12-27 22:00:00,27.24,27.560461044311523,27.80805587768555,28.801332473754886,27.0544548034668,27.806076049804688,27.3901,27.1678,27.2715,27.5623,27.347925000000004
2016-12-27 23:00:00,25.73,26.35834884643555,26.61278533935547,27.429676055908203,26.171283721923828,26.64302349090576,26.4104,27.3848,25.8334,26.018,26.41165
2016-12-28 00:00:00,26.45,25.521669387817386,24.532413482666016,25.51073837280273,25.09457778930664,25.164849758148193,25.3226,25.6687,24.7684,24.8551,25.1537
2016-12-28 01:00:00,26.26,25.07672691345215,23.86404037475586,24.899473190307614,24.33872413635254,24.54474115371704,24.8567,25.4542,23.7182,23.6142,24.410825
2016-12-28 02:00:00,26.24,24.76689338684082,23.317960739135746,24.507038116455078,23.94988441467285,24.135444164276123,24.7179,24.9434,23.0985,22.3291,23.772225
2016-12-28 03:00:00,26.43,24.770023345947266,23.14958381652832,24.83203125,24.02761459350586,24.19481325149536,24.2572,25.0777,22.935,21.8352,23.526275
2016-12-28 04:00:00,27.26,25.502634048461914,23.97430419921875,25.10461235046387,24.71835517883301,24.824976444244385,25.0417,25.7695,23.8031,23.2182,24.458125
2016-12-28 05:00:00,28.72,26.83120155334473,25.50900459289551,26.52800178527832,26.448640823364254,26.329212188720703,26.1573,26.6683,25.9198,25.962,26.17685
2016-12-28 06:00:00,29.81,29.17513656616211,27.968400955200195,28.7712459564209,28.51046371459961,28.606311798095703,28.4317,29.9876,29.108,28.9021,29.10735
2016-12-28 07:00:00,30.64,30.780656814575195,29.81506729125977,31.11457443237305,29.97908592224121,30.422346115112305,31.7403,33.7175,32.277,32.0239,32.439675
2016-12-28 08:00:00,31.86,31.47399711608887,30.511627197265625,32.43387985229492,30.44366836547852,31.215793132781982,33.5965,35.4477,34.0402,33.4537,34.134525
2016-12-28 09:00:00,31.98,31.52965545654297,30.599613189697266,32.08623504638672,30.43452072143555,31.162506103515625,32.7848,34.3455,33.5327,33.058,33.43025
2016-12-28 10:00:00,32.09,31.44312858581543,30.5888671875,32.180736541748054,30.421613693237305,31.158586502075195,31.7487,33.7344,32.6109,32.543,32.65925
2016-12-28 11:00:00,32.25,31.625104904174805,30.584590911865234,32.356460571289055,30.49550437927246,31.26541519165039,31.561,33.0208,32.5501,32.3329,32.3662
2016-12-28 12:00:00,32.47,31.501487731933594,30.5052433013916,32.534820556640625,30.470197677612305,31.25293731689453,32.8543,33.3491,32.4407,32.0587,32.675700000000006
2016-12-28 13:00:00,32.73,31.624202728271484,30.671186447143555,32.53343963623047,31.17021942138672,31.499762058258057,32.2771,33.3282,32.2218,31.9343,32.44035
2016-12-28 14:00:00,32.88,31.767919540405273,30.89638519287109,32.861557006835945,32.079208374023445,31.901267528533936,32.9992,33.6185,32.8285,32.1758,32.9055
2016-12-28 15:00:00,33.24,32.263137817382805,31.867122650146484,33.69223403930664,32.95609664916992,32.694647789001465,34.0329,34.5119,34.384,32.6182,33.88675
2016-12-28 16:00:00,33.88,32.90008544921875,32.971202850341804,35.251808166503906,33.69684600830078,33.70498561859131,34.2681,34.6451,35.1391,33.898,34.487575
2016-12-28 17:00:00,33.81,33.889122009277344,32.622283935546875,37.2701530456543,34.195507049560554,34.494266510009766,34.8152,35.3226,35.4155,35.0377,35.14775
2016-12-28 18:00:00,32.89,33.384841918945305,31.45811462402344,35.16583251953125,33.36457061767578,33.343339920043945,33.6896,34.1153,35.0361,34.0375,34.219625
2016-12-28 19:00:00,31.9,31.27473068237305,29.9587459564209,31.70450592041016,31.897687911987305,31.20891761779785,31.1941,32.4885,32.7216,32.0451,32.112325
2016-12-28 20:00:00,31.24,30.03458976745605,29.027687072753906,30.27266502380371,30.720346450805664,30.013822078704834,30.2805,30.9797,30.8941,30.7021,30.7141
2016-12-28 21:00:00,30.65,29.343095779418945,28.077922821044922,29.468660354614254,29.72442626953125,29.153526306152344,29.7581,29.838,29.958000000000002,29.8032,29.839325
2016-12-28 22:00:00,30.02,28.81545639038086,27.22383117675781,28.73235321044922,28.732065200805664,28.37592649459839,29.0324,28.9074,28.5712,28.5979,28.777225
2016-12-28 23:00:00,29.37,27.57267570495605,26.300275802612305,27.52431678771973,27.902421951293945,27.324922561645508,28.1541,28.6933,26.6029,27.0142,27.616125
2016-12-29 00:00:00,29.26,28.208425521850586,28.24817085266113,28.233476638793945,28.63063621520996,28.330177307128906,28.6226,28.8282,28.6854,28.8437,28.744975
2016-12-29 01:00:00,28.72,27.70557975769043,27.41726493835449,27.778602600097656,27.886775970458984,27.69705581665039,28.2471,28.2273,28.0844,27.9634,28.13055
2016-12-29 02:00:00,28.29,27.171634674072266,27.00756645202637,27.256521224975586,27.31187629699707,27.186899662017822,27.9633,27.9159,27.5533,27.0044,27.609225
2016-12-29 03:00:00,28.32,26.91050148010254,27.0113582611084,27.084871292114254,27.042022705078125,27.01218843460083,27.8003,27.8691,26.9558,26.3475,27.243175
2016-12-29 04:00:00,28.95,27.18407821655273,27.12981414794922,27.26873207092285,27.13539123535156,27.179503917694092,27.5236,28.0671,27.1511,26.788,27.38245
2016-12-29 05:00:00,29.88,27.95707702636719,27.5407657623291,27.80378723144531,27.44074821472168,27.68559455871582,27.995,28.516,27.795,27.9898,28.07395
2016-12-29 06:00:00,30.66,28.882909774780273,28.29403877258301,28.40843772888184,28.421255111694336,28.501660346984863,27.9384,30.9161,29.2275,29.6406,29.43065
2016-12-29 07:00:00,30.96,29.759706497192386,28.920806884765625,29.20597648620605,29.48239898681641,29.342222213745117,29.1983,30.0115,29.0305,29.724,29.491075
2016-12-29 08:00:00,31.27,30.221538543701172,29.13159942626953,29.17601776123047,29.8389892578125,29.592036247253418,30.3533,32.8098,29.8981,30.7511,30.953075
2016-12-29 09:00:00,31.05,30.10920524597168,29.12141227722168,29.44038391113281,29.699552536010746,29.59263849258423,29.7269,32.8965,29.9536,30.4208,30.74945
2016-12-29 10:00:00,30.98,29.77534103393555,28.92757797241211,29.652929306030273,29.536720275878906,29.47314214706421,24.0863,32.7294,29.2813,29.813000000000002,28.977500000000006
2016-12-29 11:00:00,30.97,29.579458236694336,29.04939270019531,29.66049385070801,29.47119903564453,29.440135955810547,32.3814,30.763,29.3973,29.9741,30.628950000000003
2016-12-29 12:00:00,31.03,29.315601348876953,28.96181488037109,29.29971694946289,29.36786460876465,29.236249446868896,31.054000000000002,32.1164,29.416,29.976,30.6406
2016-12-29 13:00:00,31.04,29.132110595703125,28.99501609802246,28.95832443237305,29.10045623779297,29.0464768409729,30.1245,28.6399,29.2292,29.8092,29.4507
2016-12-29 14:00:00,31.08,29.19929504394531,28.79461479187012,28.984600067138672,29.024568557739254,29.00076961517334,30.6294,29.0411,29.8008,30.0435,29.8787
2016-12-29 15:00:00,31.27,29.44099426269531,28.87977600097656,29.30087661743164,29.14970397949219,29.192837715148926,32.2953,30.916,30.3683,30.643,31.05565
2016-12-29 16:00:00,31.54,29.9461669921875,29.03153419494629,30.05164337158203,29.569664001464844,29.649752140045166,32.7106,31.2229,30.6187,30.8074,31.3399
2016-12-29 17:00:00,31.47,30.423192977905273,29.095104217529297,29.999942779541016,29.734375,29.813153743743896,32.467,33.4983,30.6054,30.9039,31.86865
2016-12-29 18:00:00,30.99,29.99603843688965,28.91323661804199,29.8229923248291,29.62907600402832,29.590335845947266,32.0049,33.150999999999996,30.3137,30.7363,31.551475
2016-12-29 19:00:00,30.58,29.36005210876465,28.42526626586914,29.48008155822754,29.13973617553711,29.10128402709961,29.842,30.5515,29.7743,29.8222,29.9975
2016-12-29 20:00:00,30.28,28.69704246520996,28.10626220703125,28.81517601013184,28.71356773376465,28.583012104034424,29.27,28.7588,29.1525,29.1694,29.087675
2016-12-29 21:00:00,30.01,28.493566513061523,27.56060028076172,28.51609992980957,28.247934341430664,28.20455026626587,29.2665,29.4723,28.9146,28.9204,29.14345
2016-12-29 22:00:00,29.44,27.913042068481445,27.597190856933594,28.37705993652344,27.99518966674805,27.97062063217163,28.8286,28.6913,28.3924,28.369,28.570325
2016-12-29 23:00:00,28.76,27.01857185363769,27.01264762878418,27.4558162689209,27.31165313720703,27.19967222213745,27.7472,29.0078,27.1134,27.4303,27.824675
2016-12-30 00:00:00,28.18,28.043888092041016,28.08078765869141,27.47467613220215,28.19459342956543,27.948486328125,28.2233,28.2564,28.4706,28.4214,28.342925
2016-12-30 01:00:00,27.03,27.42677879333496,27.23361015319824,27.01446533203125,27.8215274810791,27.37409543991089,27.5069,27.5945,27.7366,27.7837,27.655425
2016-12-30 02:00:00,26.47,27.16446304321289,27.05336570739746,26.72020149230957,27.36831283569336,27.07658576965332,27.0187,27.2648,27.2637,27.2163,27.190875
2016-12-30 03:00:00,26.47,27.235122680664066,26.741300582885746,26.660802841186523,27.30280113220215,26.98500680923462,26.613000000000003,27.1988,26.8782,26.9014,26.89785
2016-12-30 04:00:00,27.14,27.45882225036621,26.97724533081055,26.979623794555664,27.628498077392575,27.26104736328125,26.7278,27.4896,27.1629,27.3937,27.1935
2016-12-30 05:00:00,28.33,28.26963996887207,27.8345947265625,27.64086151123047,28.62727165222168,28.09309196472168,27.1913,28.0272,27.889,27.8712,27.744675
2016-12-30 06:00:00,29.53,29.58531951904297,28.81675910949707,29.215517044067386,29.95058631896973,29.392045497894287,28.1562,29.9517,28.8667,29.2314,29.051500000000004
2016-12-30 07:00:00,30.06,30.629005432128906,29.52384376525879,30.151580810546875,30.86079978942871,30.29130744934082,28.717,29.2175,29.9509,29.8483,29.433425
2016-12-30 08:00:00,30.28,31.153907775878906,29.86285972595215,30.29401397705078,30.92023468017578,30.557754039764404,30.3916,30.7763,30.4733,30.2739,30.478775
2016-12-30 09:00:00,30.25,31.09176254272461,29.762310028076172,30.31969451904297,30.861915588378906,30.508920669555664,31.0331,31.3763,30.1894,30.0626,30.665350000000004
2016-12-30 10:00:00,30.21,30.80141639709473,29.814512252807614,30.24245834350586,30.658966064453125,30.379338264465332,31.2738,29.9913,30.1172,29.8388,30.305275
2016-12-30 11:00:00,30.2,30.485265731811523,29.70049285888672,30.331432342529297,30.294925689697266,30.2030291557312,31.3335,31.0528,29.8911,29.823,30.5251
2016-12-30 12:00:00,30.18,30.18154716491699,29.49924468994141,30.00803375244141,30.03050804138184,29.92983341217041,31.1516,31.0074,29.7524,29.7498,30.4153
2016-12-30 13:00:00,30.06,29.90395164489746,29.35249137878418,29.73860168457031,29.7789306640625,29.693493843078613,29.8849,30.8061,29.4531,29.3834,29.881875
